study_accession	sample_accession	run_accession	fastq_md5	fastq_ftp
PRJEB24914	SAMEA104585213	ERR2298674	13be1748daba512eda71adc01044c60d;66f4c05545abbc541b4bbf14ae772491	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298674/ERR2298674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298674/ERR2298674_2.fastq.gz
PRJEB24914	SAMEA104585214	ERR2298675	a7d4e7eb6c5940120a06cb159b1ed6cf;699e9b357bb75140bc4ecfe50c60f0c6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298675/ERR2298675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298675/ERR2298675_2.fastq.gz
PRJEB24914	SAMEA104585215	ERR2298676	996fbcc1a68b23455a9260f19b5dce59;6b109033acf595f67b7b0aa9c4bea0e8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298676/ERR2298676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298676/ERR2298676_2.fastq.gz
PRJEB24914	SAMEA104585216	ERR2298677	11bb3e09e6fcd4dd7b839a6e2f503e68;33104b3cdf0e557126f20fdaecccde67	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298677/ERR2298677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298677/ERR2298677_2.fastq.gz
PRJEB24914	SAMEA104585217	ERR2298678	7590d88d836f7908eb99b3990393290c;06e336536df4fd6da6da3143c9f16dfc	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298678/ERR2298678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298678/ERR2298678_2.fastq.gz
PRJEB24914	SAMEA104585218	ERR2298679	6b70b527701cf75cb210b65d1df4ce29;1037d228567b6d9a444c893103f1293b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298679/ERR2298679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298679/ERR2298679_2.fastq.gz
PRJEB24914	SAMEA104585219	ERR2298680	c878c6f3eac36df2b438f7af1d64104e;6cc3ca9872fde2f2926de60738af4a89	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298680/ERR2298680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298680/ERR2298680_2.fastq.gz
PRJEB24914	SAMEA104585220	ERR2298681	1f984fa0835e3ed5c158cd683759300b;e759518260c199d47ba1525a3b6debe1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298681/ERR2298681_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298681/ERR2298681_2.fastq.gz
PRJEB24914	SAMEA104585221	ERR2298682	dea2176f945a64638e00d8e1b1b9dc8e;1b6af4e78fad6cda39b3a55125358e41	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298682/ERR2298682_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298682/ERR2298682_2.fastq.gz
PRJEB24914	SAMEA104585222	ERR2298683	451c7b3829deac5c4f9d705df889a707;3e1c3946abd087bd979d75466cc94d87;565c11e0aec9a400c5326a434b6421c9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298683/ERR2298683.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298683/ERR2298683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/003/ERR2298683/ERR2298683_2.fastq.gz
PRJEB24914	SAMEA104585223	ERR2298684	82dd792e4d1bc79cecabf85b6de6d200;1f49f8fa8f6a983a8b66311e96a680c6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298684/ERR2298684_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/004/ERR2298684/ERR2298684_2.fastq.gz
PRJEB24914	SAMEA104585224	ERR2298685	901a4d9a84f1c000d0e837dae8b586da;7183fada5e19a6ef646c3edd51d7e764	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298685/ERR2298685_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/005/ERR2298685/ERR2298685_2.fastq.gz
PRJEB24914	SAMEA104585225	ERR2298686	2e26d5bb6f8245c4823a2af258a98577;911d6e2868156fb4c9b67642a03c0e70	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298686/ERR2298686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/006/ERR2298686/ERR2298686_2.fastq.gz
PRJEB24914	SAMEA104585226	ERR2298687	d9a84568f21bb8f86f190c5fc19529a4;4bf40da32ab2549856946610b8baae79	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298687/ERR2298687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/007/ERR2298687/ERR2298687_2.fastq.gz
PRJEB24914	SAMEA104585227	ERR2298688	cfc1d903f67e8703d858360f981cc63f;6127d656cb2141e416411311e3be5319;a4ac486b4e27a39647e72e14d722da8d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298688/ERR2298688.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298688/ERR2298688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/008/ERR2298688/ERR2298688_2.fastq.gz
PRJEB24914	SAMEA104585228	ERR2298689	fd08e2a2a0d69cd0de58feea3310f9db;921dc995264b4a62bb1f86ea12a5c1d7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298689/ERR2298689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/009/ERR2298689/ERR2298689_2.fastq.gz
PRJEB24914	SAMEA104585229	ERR2298690	35581c058174efc40a5947bdd5aad652;7e00aaa9b58819411f2867970172753b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298690/ERR2298690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/000/ERR2298690/ERR2298690_2.fastq.gz
PRJEB24914	SAMEA104585230	ERR2298691	f6685a973e652743d4451effd0017115;3ede0f1ac5be4b18b48eea51c8285bd1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298691/ERR2298691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/001/ERR2298691/ERR2298691_2.fastq.gz
PRJEB24914	SAMEA104585231	ERR2298692	d39118082bc3216930bb7b1dff2cb4ba;73151da7634f63f9bcd431751949d43d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298692/ERR2298692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR229/002/ERR2298692/ERR2298692_2.fastq.gz
